Dc_Dist,Psa,Dispatch_Date_Time,Dispatch_Date,Dispatch_Time,Hour,Dc_Key,Location_Block,UCR_General,Text_General_Code,Police_Districts,Month,Lon,Lat,Zipcode
25,4,6/12/2015 19:54,6/12/2015,19:54:00,19,2.02E+11,3300 BLOCK N 05TH ST,1800,Narcotic / Drug Law Violations,18,2015-06,-75.13797,40.002517,19140
35,2,4/8/2015 4:02,4/8/2015,4:02:00,4,2.02E+11,5200 BLOCK WESTFORD RD,2100,Driving Under The Influence,20,2015-04,-75.116068,40.028974,19120
24,2,10/6/2015 1:35,10/6/2015,1:35:00,1,2.02E+11,100 BLOCK E LIPPINCOTT ST,300,Robbery,17,2015-10,-75.129454,39.997584,19133
19,1,6/5/2015 7:19,6/5/2015,7:19:00,7,2.02E+11,6400 BLOCK WOODCREST AV,600,Thefts,15,2015-06,-75.254402,39.981545,19151
7,2,12/15/2015 20:29,12/15/2015,20:29:00,20,2.02E+11,9900 BLOCK FERNDALE ST,500,Burglary,6,2015-12,-75.037649,40.103894,19115
6,2,9/6/2015 13:20,9/6/2015,13:20:00,13,2.02E+11,1300 BLOCK FILBERT ST,600,Thefts,5,2015-09,-75.161267,39.953098,19107
25,3,2/17/2015 20:00,2/17/2015,20:00:00,20,2.02E+11,3200 BLOCK N LEE ST,1800,Narcotic / Drug Law Violations,18,2015-02,-75.128679,39.998484,19140
7,3,7/22/2015 12:57,7/22/2015,12:57:00,12,2.02E+11,800 BLOCK SELMER RD,600,Thefts,6,2015-07,-75.021816,40.107175,19116
19,3,11/14/2015 13:09,11/14/2015,13:09:00,13,2.02E+11,1500 BLOCK N 52ND ST,600,Thefts,15,2015-11,-75.225859,39.978568,19131
39,3,9/27/2015 1:15,9/27/2015,1:15:00,1,2.02E+11,3200 BLOCK N 25TH ST,300,Robbery,21,2015-09,-75.170407,40.004912,19129
24,2,8/12/2015 14:34,8/12/2015,14:34:00,14,2.02E+11,2800 BLOCK ROSEHILL ST,1800,Narcotic / Drug Law Violations,17,2015-08,-75.125281,39.991845,19134
14,2,10/19/2015 17:17,10/19/2015,17:17:00,17,2.02E+11,5600 BLOCK STOKES ST,1400,Vandalism/Criminal Mischief,10,2015-10,-75.164907,40.042424,19144
14,4,8/30/2015 14:26,8/30/2015,14:26:00,14,2.02E+11,7000 BLOCK SPRAGUE ST,700,Recovered Stolen Motor Vehicle,10,2015-08,-75.183279,40.061737,19119
15,2,7/14/2015 22:54,7/14/2015,22:54:00,22,2.02E+11,1600 BLOCK E CHELTENHAM AVE,2100,Driving Under The Influence,11,2015-07,-75.079097,40.028518,19124
15,2,4/16/2015 14:09,4/16/2015,14:09:00,14,2.02E+11,1500 BLOCK BRIDGE ST,600,Thefts,11,2015-04,-75.077405,40.024174,19124
8,3,7/10/2015 16:07,7/10/2015,16:07:00,16,2.02E+11,1300 BLOCK FRANKLIN MLS,600,Thefts,7,2015-07,-74.959355,40.085692,19154
24,1,4/9/2015 21:35,4/9/2015,21:35:00,21,2.02E+11,800 BLOCK E THAYER ST,1800,Narcotic / Drug Law Violations,10,2015-04,-75.175184,40.063261,19119
9,2,4/13/2015 6:05,4/13/2015,6:05:00,6,2.02E+11,1500 BLOCK MARKET ST,2500,Vagrancy/Loitering,8,2015-04,-75.165834,39.952703,19102
14,4,11/1/2015 17:27,11/1/2015,17:27:00,17,2.02E+11,600 BLOCK E DURHAM ST,1400,Vandalism/Criminal Mischief,10,2015-11,-75.18096,40.067745,19119
14,2,4/10/2015 18:26,4/10/2015,18:26:00,18,2.02E+11,100 BLOCK E CHELTEN AV,600,Thefts,10,2015-04,-75.17318,40.037268,19144
19,2,11/29/2015 10:34,11/29/2015,10:34:00,10,2.02E+11,5300 BLOCK RACE ST,600,Thefts,15,2015-11,-75.226235,39.9633,19139
18,2,1/23/2015 8:07,1/23/2015,8:07:00,8,2.02E+11,5400 BLOCK CHESTNUT ST,1000,Forgery and Counterfeiting,14,2015-01,-75.229901,39.959023,19139
17,2,2/6/2015 20:46,2/6/2015,20:46:00,20,2.02E+11,3000 BLOCK GRAYS FERRY AVE,600,Thefts,13,2015-02,-75.194067,39.939073,19146
39,3,10/22/2015 23:23,10/22/2015,23:23:00,23,2.02E+11,2600 BLOCK W LEHIGH AV,1800,Narcotic / Drug Law Violations,21,2015-10,-75.175235,39.996652,19132
2,1,9/12/2015 8:55,9/12/2015,8:55:00,8,2.02E+11,6300 BLOCK SUMMERDALE AV,600,Thefts,2,2015-09,-75.083068,40.041912,19111
22,3,4/9/2015 20:51,4/9/2015,20:51:00,20,2.02E+11,1500 BLOCK N BROAD ST,600,Thefts,16,2015-04,-75.158465,39.975896,19122
15,3,6/19/2015 15:38,6/19/2015,15:38:00,15,2.02E+11,3000 BLOCK SAINT VINCENT ST,400,Aggravated Assault,11,2015-06,-75.052033,40.040577,19149
2,3,3/8/2015 19:49,3/8/2015,19:49:00,19,2.02E+11,7400 BLOCK BUSTLETON AVE,600,Thefts,2,2015-03,-75.058137,40.049908,19152
6,2,8/3/2015 16:42,8/3/2015,16:42:00,16,2.02E+11,1000 BLOCK CHESTNUT ST,500,Burglary,5,2015-08,-75.158347,39.950219,19107
24,2,11/8/2015 3:50,11/8/2015,3:50:00,3,2.02E+11,3000 BLOCK ROSEHILL ST,2100,Driving Under The Influence,17,2015-11,-75.124644,39.994822,19134
19,3,5/5/2015 18:31,5/5/2015,18:31:00,18,2.02E+11,4000 BLOCK MONUMENT RD,600,Thefts,15,2015-05,-75.213489,40.006611,19131
15,3,4/21/2015 18:09,4/21/2015,18:09:00,18,2.02E+11,4800 BLOCK LONGSHORE AV,700,Recovered Stolen Motor Vehicle,11,2015-04,-75.042068,40.024473,19135
14,4,7/13/2015 10:20,7/13/2015,10:20:00,10,2.02E+11,100 BLOCK W NORTHWESTERN AVE,700,Recovered Stolen Motor Vehicle,10,2015-07,-75.231282,40.085218,19118
14,4,9/9/2015 15:55,9/9/2015,15:55:00,15,2.02E+11,1600 BLOCK MC PHERSON ST,1400,Vandalism/Criminal Mischief,10,2015-09,-75.175283,40.082077,19150
39,1,1/12/2015 14:24,1/12/2015,14:24:00,14,2.02E+11,100 BLOCK WYNEVA ST,700,Recovered Stolen Motor Vehicle,21,2015-01,-75.164069,40.024994,19144
35,2,3/26/2015 16:58,3/26/2015,16:58:00,16,2.02E+11,1000 BLOCK W TABOR RD,600,Thefts,20,2015-03,-75.139155,40.037065,19141
15,1,1/15/2015 12:57,1/15/2015,12:57:00,12,2.02E+11,5200 BLOCK FRANKFORD AVE,2400,Disorderly Conduct,11,2015-01,-75.078182,40.022416,19124
22,1,10/14/2015 19:30,10/14/2015,19:30:00,19,2.02E+11,N 16TH ST / FONTAIN ST,1400,Vandalism/Criminal Mischief,16,2015-10,-75.159957,39.984513,19121
39,1,4/9/2015 6:01,4/9/2015,6:01:00,6,2.02E+11,400 BLOCK MANHEIM ST,600,Thefts,21,2015-04,-75.171964,40.02324,19144
7,1,5/18/2015 19:09,5/18/2015,19:09:00,19,2.02E+11,2100 BLOCK BENSON ST,600,Thefts,6,2015-05,-75.04898,40.064394,19152
1,1,8/4/2015 11:43,8/4/2015,11:43:00,11,2.02E+11,1800 BLOCK S 22ND ST,1800,Narcotic / Drug Law Violations,1,2015-08,-75.182004,39.929733,19145
9,3,4/15/2015 14:53,4/15/2015,14:53:00,14,2.02E+11,600 BLOCK N 15TH ST,400,Aggravated Assault,8,2015-04,-75.162784,39.964331,19130
