OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
1001,Penrose Playground Building,Penrose Playground,Penrose Playground,1101 W SUSQUEHANNA AVE,Building,Recreation Bldg,,3921.661031,0.090029,19133,,,,12Nov2013,Vanessa Miller,PPR,,
1002,Sedgely Storeroom,Sedgely Storeroom,East Fairmount Park,2528 W SEDGELY AVE,Building,Garage\Maintenance\Storage Bldg,,13979.613195,0.320929,19132,,,,12Nov2013,Vanessa Miller,PPR,,
1003,York St Mini Park,York St Mini Park,York St Mini Park,2400 W YORK ST,Land,Park- Mini,,867.956845,0.019926,19132,,,,12Nov2013,Vanessa Miller,PPR,,York St Mini Park
1004,Colorado St Mini Park,Colorado St Mini Park,Colorado St Mini Park,2400 N COLORADO ST,Land,Park- Mini,,824.491442,0.018928,19132,,,,12Nov2013,Vanessa Miller,PPR,,Colorado St Mini Park
1005,Stiles Street Playlot,Stiles Street Playlot,Stiles Street Playlot,1608 W STILES ST,Land,Recreation Site,,861.51478,0.019778,19121,,,,12Nov2013,Vanessa Miller,PPR,,Stiles Street Playlot
1006,FAA Outer Marker,Cobbs Creek Driving Range & Sports Center,Cobbs Creek Park,7900 CITY AVE,Structure,Golf,,98.370976,0.002258,19151,,1904-1928,,12Nov2013,Vanessa Miller,Lessee/Tenants,US Dept. Transportation,FAA Outer Marker
1007,Burholme Pitching Machine Building,Burholme Driving Range,Burholme Park,401 W COTTMAN AVE,Building,Batting Cage,Golf Driving Range,568.123263,0.013042,19111,,,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Burholme Golf, Inc.",
1008,Paine's Park,Paine's Park,Schuylkill Banks,MARTIN LUTHER KING DRIVE,Land,Park- Skate Park,,128087.092478,2.940487,19103,, ,,16Dec2013,Vanessa Miller,PPR,,Paine's Park
1009,Officer Daniel Boyle Park,Officer Daniel Boyle Park,Officer Daniel Boyle Park,2401-13 GERMANTOWN AVE,Land,Park- Mini, ,15313.715345,0.351556,19133,Vandergift, ,Renamed by Police Department (Vandergift),12Nov2013,Vanessa Miller,PPR,,Officer Daniel Boyle Park
1010,Wissahickon East,Wissahickon East,Wissahickon East,7530 ANDERSON ST,Land,Park- Watershed\Conservation,,244580.624472,5.614821,19119,,2013,,06Jun2014,Nora Dougherty,PPR,,Wissahickon East
1011,22nd & Market Memorial Park ,22nd & Market Memorial Park ,22nd & Market Memorial Park ,2140 MARKET ST,Land,Park- Mini,,2445.077198,0.056131,19103,Salvation Army Collapse Site,2014,under construction ,21JUN2014,Nora Dougherty,PPR,,22nd & Market Memorial Park
1012,Ingersoll Park,Ingersoll Park,Ingersoll Park,1300 N. 16th Street,Land,Park- Neighborhood,,55598.756576,1.276377,19121,,2014,under construction,21JUN2014,Nora Dougherty,PPR,,Ingersoll Park
1013,Eakins Oval,Eakins Oval,Benjamin Franklin Parkway,2451 BENJ FRANKLIN PKY,Land,Park- Linear\Parkway,,340549.759134,7.817978,,,1917-1928,,27Jun2014,Nora Dougherty,PPR,,Eakins Oval
1014,Park Towne,Benjamin Franklin Parkway,Benjamin Franklin Parkway,BENJAMIN FRANKLIN PKY,Land,Park- Linear\Parkway,,160447.916796,3.683392,,,1917-1928,,12Nov2013,Nora Dougherty,,,
1015,Poquessing Creek Park 4,Poquessing Creek Park,Poquessing Creek Park,3601 ACADEMY RD,Land,Park- Watershed\Conservation, ,2688046.017034,61.709292,19154, ,1960-1970, ,19Dec2012,Vanessa Miller,,,Poquessing Creek Park
1016,Poquessing Creek Park 3,Poquessing Creek Park,Poquessing Creek Park,3125 MECHANICSVILLE RD,Land,Park- Watershed\Conservation, ,1402678.299628,32.201192,19154, ,1960-1970, ,19Dec2012,Vanessa Miller,,,Poquessing Creek Park
1017,Poquessing Creek Park 5,Poquessing Creek Park,Poquessing Creek Park,4341 WHITING RD,Land,Park- Watershed\Conservation, ,1004729.119971,23.065499,19154, ,1960-1970, ,19Dec2012,Vanessa Miller,,,Poquessing Creek Park
1018,Poquessing Creek Park 8,Poquessing Creek Park,Poquessing Creek Park,9900-99 HEGERMAN ST,Land,Park- Watershed\Conservation, ,715968.729674,16.436446,19114, ,1960-1970, ,19Dec2012,Vanessa Miller,,,Poquessing Creek Park
1019,Poquessing Creek Park 6,Poquessing Creek Park,Poquessing Creek Park,130 DIMARCO DR,Land,Park- Watershed\Conservation, ,658643.07912,15.120425,19154, ,1960-1970, ,19Dec2012,Vanessa Miller,,,Poquessing Creek Park
1020,Poquessing Creek Park 7,Poquessing Creek Park,Poquessing Creek Park,10501 KNIGHTS RD,Land,Park- Watershed\Conservation, ,566415.398825,13.00316,19154, ,1960-1970, ,19Dec2012,Vanessa Miller,,,Poquessing Creek Park
1021,Poquessing Creek Park 2,Poquessing Creek Park,Poquessing Creek Park,1300-2600 POQUESSING CRK DR,Land,Park- Watershed\Conservation, ,148988.410154,3.420317,19116, ,1960-1970, ,19Dec2012,Vanessa Miller,,,Poquessing Creek Park
1022,Fairmount Drainage Right of Way 1,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,190 ALBURGER AVE,Land,Park- Regional/Watershed, ,2309601.880489,53.021376,19115, , , ,19Dec2012,Vanessa Miller,,,
1023,Fairmount Drainage Right of Way 7,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,10901-11899 WALDEMIRE DR,Land,Park- Regional/Watershed, ,2285725.850842,52.473255,19154, , , ,19Dec2012,Vanessa Miller,,,
1024,Fairmount Drainage Right of Way 2,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,8601 VERREE RD,Land,Park- Regional/Watershed, ,994210.866623,22.824032,19115, , , ,19Dec2012,Vanessa Miller,,,
1025,Fairmount Drainage Right of Way 5,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,3460 MORRELL AVE,Land,Park- Regional/Watershed, ,1104557.688752,25.357257,19114, , , ,19Dec2012,Vanessa Miller,,,
1026,Fairmount Drainage Right of Way 4,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,2870 WILLITS RD,Land,Park- Regional/Watershed, ,246486.755178,5.65858,19136, , , ,19Dec2012,Vanessa Miller,,,
1027,Fairmount Drainage Right of Way 3,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,2620 MAXWELL ST,Land,Park- Regional/Watershed, ,228470.183168,5.244975,19152, , , ,19Dec2012,Vanessa Miller,,,
1028,Fairmount Drainage Right of Way 8,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,3777 MORRELL AVE,Land,Park- Regional/Watershed, ,366278.750472,8.408637,19114, , , ,19Dec2012,Vanessa Miller,,,
1029,Fairmount Drainage Right of Way 6,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,3099 WOODHAVEN RD,Land,Park- Regional/Watershed, ,143671.606077,3.298259,19154, , , ,19Dec2012,Vanessa Miller,,,
1030,Glen Foerd,Glen Foerd,Glen Foerd,5001 GRANT AVE,Land,Park- Watershed\Conservation, ,938656.442823,21.548673,19114, ,1984, ,19Dec2012,Vanessa Miller,,,Glen Foerd
1031,Allens Lane Art Center,Allens Lane Art Center,Allens Lane Art Center,621 W ALLENS LA,Land,Park- Community, ,251075.436217,5.763922,19119, ,1945, ,19Dec2012,Vanessa Miller,,,Allens Lane Art Center
1032,Martin Luther King Recreation Center,Martin Luther King Recreation Center,Martin Luther King Recreation Center,2101-35 CECIL B MOORE AVE,Land,Recreation Center, ,228852.085307,5.253742,19121, , , ,19Dec2012,Vanessa Miller,,,King
1033,Gathers Recreation Center ,Gathers Recreation Center,Gathers Recreation Center ,2501-59 DIAMOND ST,Land,Recreation Center, ,161294.501399,3.702827,19121, , , ,19Dec2012,Vanessa Miller,,,Gathers
1034,River Field,Benjamin Franklin Parkway,Benjamin Franklin Parkway,302 N 24TH ST,Land,Park- Linear\Parkway, ,300071.700651,6.888726,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,River Field
1035,Levy Park,Benjamin Franklin Parkway,Benjamin Franklin Parkway,1619-29 ARCH ST,Land,Park- Linear\Parkway, ,24437.078123,0.561,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,Levy Park
